id,company_id,project_id,main,sku,ean,isbn10,title,description,images2,size,categories,brand,gender,author,publisher,binding,edition,number_of_pages,dimensions,weight,publish_date,language,delivery,amazon_rank_number,spnl_stock,spnl_cost,spfr_stock,spfr_cost,sp1_stock,sp1_cost,sp2_stock,sp2_cost,sp3_stock,sp3_cost,sp5_stock,sp5_cost,sp7_stock,sp7_cost,image_ids,added_import_id,processing_stock
33914,1,1,1,NULL,9.78344E+12,3440148025,"Sternenschweif, Das geheime Zauberbuch","Ein geheimes Zauberbuch wird aus Arkadia gesandt â€“ mit einem dringenden Auftrag an Laura und Sternenschweif: Rettet das Land der EinhÃ¶rner! Wer ist dem Geheimnis auf der Spur? Wer spielt hier mit falschen Karten? Ein Wettlauf gegen die Zeit beginnt. Das Zauberbuch fÃ¼hrt Laura und ihr Einhorn zurÃ¼ck in die Vergangenheit. Werden sie dort des RÃ¤tsels LÃ¶sung finden? Die Leserinnen sind immer hautnah dabei. Mit jeder verschlossenen Doppelseite, die sie Ã¶ffnen, tauchen sie tiefer ein in dieses spannende magische Abenteuer. Bilder, RÃ¤tsel und natÃ¼rlich die Anweisungen des magischen Buchs sorgen Seite fÃ¼r Seite fÃ¼r neue Ãœberraschungen",,NULL,Books > Children's Books > Literature & Fiction,NULL,NULL,Linda Chapman,Franckh Kosmos Verlag,Hardcover,1st edition,192,13.9 x 2.3 x 20.2 cm,,6 Aug. 2015,,NULL,5124,0,0,0,0,32,9.11,6,9.11,0,0,0,0,0,0,10644,1,0
33915,1,1,1,NULL,9.78344E+12,3440167607,"TKKG Junior, 9, Der Roboterhund","Tim, Karl, KlÃ¶ÃŸchen und Gaby dÃ¼rfen den neuen Roboterhund Robi testen und sind Feuer und Flamme. Doch plÃ¶tzlich verschwindet der kleine Roboter spurlos aus dem Adlernest. Als sich dann auch noch weitere GegenstÃ¤nde aus dem Internat scheinbar wie in Luft auflÃ¶sen und der Schulcomputer gehackt wird, ist klar: TKKG haben einen neuen Fall!TKKG - das sind Tim, Karl, KlÃ¶ÃŸchen und Gaby. Die vier Freunde lÃ¶sen mutig jeden Fall und stÃ¼rzen sich in spannende Abenteuer. Dabei darf Hund Oskar natÃ¼rlich nicht fehlen",,NULL,Books > Children's Books > Literature & Fiction,NULL,NULL,Kirsten Vogel,Franckh Kosmos Verlag,Hardcover,1st edition,128,13.9 x 1.8 x 20.1 cm,,12 Mar. 2020,,NULL,135125,0,0,0,0,0,0,2,6.07,0,0,0,0,0,0,85510,1,0
33916,1,1,1,NULL,9.78344E+12,3440169936,Geheimnisvolle Weihnachtszeit: Ich sehe was,"Ein aufregender Abstecher in die Werkstatt des Weihnachtsmannes, Toben im glitzernden Schnee, bunter Christbaumschmuck und plÃ¼schige TeddybÃ¤ren lassen Kinderherzen hÃ¶her schlagen. Spannende Suchbilder mit Liebe zum Detail und RÃ¤tsel in Reimform laden zu immer neuen Entdeckungen ein â€“ allein, mit Freunden oder der Familie. Das Abtauchen in diese farbenprÃ¤chtigen Welten macht allen sehr viel SpaÃŸ und ganz nebenbei werden Konzentration und SprachvermÃ¶gen geschult",,NULL,Books > Children's Books > Literature & Fiction,NULL,NULL,Walter Wick,Franckh Kosmos Verlag,Hardcover,3rd edition,40,23.4 x 1 x 31.2 cm,,17 Sept. 2020,,NULL,205682,0,0,0,0,0,0,6,8.5,0,0,0,0,0,0,85511,1,0
3321160,1,2,1,849296,4.02161E+12,NULL,Goldwell Colorance Demi-permanent Hair Color #5na 120 Ml,<p>GOLDWELL Colorance Demi-permanent Hair Color #5na</p>,,120 ml,Beauty|Parfum|Herenparfum,GOLDWELL,Women,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"300,818,300,819",3,0
33917,1,1,1,NULL,9.78344E+12,3440170470,"Sternenschweif,69, Das Film-Pony","Einfach zu lesenâ€“ mit vielen farbigen Bildern â€“ immer magisch! Zum Vorlesen und Selberlesen ab 7 Jahren. Beliebtes Thema Einhorn. Magische Geschichten, die die Fantasie anregen. Leicht lesbar durch Fibelschrift und einfache SÃ¤tze. Motiviert LeseanfÃ¤nger. StÃ¤rkt die Lesekompetenz. Laura hat ein wunderbares Geheimnis: Ihr Pony Sternenschweif ist in Wirklichkeit ein Einhorn! Zusammen erleben die beiden Freunde viele magische Abenteuer. Kim und ihr Pony Flummi sollen bei einem Film mitmachen. Doch dann verletzt sich Flummi und alles steht auf dem Spiel. Soll Laura Kim erlauben, mit Sternenschweif fÃ¼r den Film zu trainieren? Die Erfolgsreihe Sternenschweif: die perfekte Kombination aus Pferdegeschichte und Einhornabenteuer",,NULL,Books > Children's Books > Literature & Fiction,NULL,NULL,Linda Chapman,Kosmos,Hardcover,1st edition,112,15.7 x 1.6 x 22.2 cm,,12 Aug. 2021,,NULL,72670,0,0,0,0,0,0,3,6.07,0,0,0,0,0,0,85512,1,0
33918,1,1,1,NULL,9.78344E+12,3440171442,"Andor Junior, 2, Der Sturm auf die Rietburg","Der tapfere Krieger Thorn, die entschlossene Magierin Eara, die kluge Bewahrerin Chada und der clevere Zwerg Kram sind vÃ¶llig unterschiedlich. Doch nur wenn sie zusammenhalten, kÃ¶nnen sie das Land Andor retten. Durch Zufall entdecken Thorn, Eara, Chada und Kram im Keller der Rietburg ein Skralkind, ein gefÃ¼rchtetes Monster, das fÃ¼r den Magier Varkur spionieren soll. Doch das Skralkind will lieber Frieden stiften und mÃ¶chte mit den jungen Helden Freundschaft schlieÃŸen. WÃ¤hrenddessen versammelt Varkur eine Armee aus dunklen Gestalten und Monstern fÃ¼r einen erneuten Angriff. Wird es den Helden gelingen, die Rietburg zu retten",,NULL,Books > Children's Books > Literature & Fiction,NULL,NULL,Jens Baumeister,Kosmos,Hardcover,1st edition,136,15.2 x 1.8 x 21.5 cm,,21 Feb. 2022,,NULL,14246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10645,1,0
33919,1,1,1,NULL,9.78344E+12,3440172724,"Die drei !!!, BÃ¼cherhelden 2. Klasse, Hund entfÃ¼hrt!: Erstleser Kinder ab 7 Jahre","Kim, Franzi und Marie sind beste Freundinnen und Detektivinnen! Zusammen haben die drei !!! schon viele knifflige FÃ¤lle gelÃ¶st. Kim, Franzi und Marie beobachten ein MÃ¤dchen, das Plakate aufhÃ¤ngt, und wollen sofort wissen, was los ist. Auf dem Aushang ist der verschwundene Hund des MÃ¤dchens zu sehen: ein wunderschÃ¶ner Collie! Wurde er etwa entfÃ¼hrt? Die drei Detektivinnen mÃ¶chten unbedingt helfen und machen sich auf die Suche. Lesen lernen ist schwer? Nicht mit dieser spannenden Geschichte, die auch LeseanfÃ¤ngerinnen ab Klassenstufe 2 leicht bewÃ¤ltigen kÃ¶nnen. Illustrationen und ein LeserÃ¤tsel am Ende jedes Kapitels machen den Band abwechslungsreich, sorgen fÃ¼r Erfolgserlebnisse und erhÃ¶hen die Lese-Motivation. So macht der Einstieg ins selbststÃ¤ndige BÃ¼cherlesen einfach Spa",,NULL,Books > Children's Books > Literature & Fiction,NULL,NULL,Jule Ambach,Kosmos,Hardcover,1st edition,64,15.9 x 1.2 x 22.2 cm,,24 Jan. 2022,,NULL,12529,0,0,0,0,29,6.08,0,0,0,0,0,0,0,0,10646,1,0
33920,1,1,1,NULL,9.78344E+12,3440177165,"Die drei !!!, 2, Betrug beim Casting","Die drei !!! knacken jeden Fall! Alle sind im Casting-Fieber! Auch Marie will wissen, ob ihr Talent als SÃ¤ngerin sie in eine Fernseh-Show bringen wird. Doch dann fÃ¤llt die Jury eine Ã¤uÃŸerst ungewÃ¶hnliche Entscheidung. Kim, Franzi und Marie wittern einen neuen Fall und nehmen sofort die Ermittlungen auf",,NULL,Books > Children's Books > Literature & Fiction,NULL,NULL,Henriette Wich,Kosmos,Hardcover,4th edition,160,15 x 1.8 x 21.5 cm,,17 Feb. 2023,,NULL,30444,0,0,0,0,0,0,3,7.29,0,0,0,0,0,0,10647,1,0
3321158,1,2,1,849294,4.97437E+12,NULL,Citizen CA4420-13L Horloge - Leer - Bruin - Ã˜ 43 mm,Citizen Eco-Drive CA4420-13L,,,Herenmode|Sieraden &amp; Horloges|Horloges|Polshorloges,Citizen,Unisex,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"300,820,300,821,300,000,000,000",3,0
33921,1,1,1,NULL,9.78345E+12,3446241760,"Ella und der Neue in der Klasse (Ella, 7, Band 7","Mit Paavos Aufschneidereien fÃ¤ngt alles an. Er ist der Neue in der Schule und eigentlich ganz nett. Aber er will in allem der GrÃ¶ÃŸte sein, und sein Vater ist angeblich der berÃ¼hmteste Filmregisseur der Welt. Wenn es die anderen nicht glauben, brauchen sie am Samstag nur mitzukommen, da besucht er ihn in der Stadt. Aber plÃ¶tzlich ist Paavo verschwunden. Will er, dass die anderen ihn suchen? Probieren kÃ¶nnen sie`s ja mal. Ella und ihre Freunde blasen zur Schnitzeljagd und veranstalten ein Riesenschlamassel. Das siebte Ella-Buch des Erfolgsautors aus Finnland - fÃ¼r alle, die beim Lesen (oder Vorlesen) gern TrÃ¤nen lachen",,NULL,Books > Children's Books > Literature & Fiction,NULL,NULL,Timo Parvela,Carl Hanser Verlag GmbH & Co. KG,Hardcover,4th edition,160,13.1 x 1.7 x 21 cm,,28 Jan. 2013,,NULL,259829,0,0,0,0,0,0,1,6.01,0,0,0,0,0,0,85513,1,0
